ISBN,Book-Title,Book-Author,Year-Of-Publication
195153448,Classical Mythology,Mark P. O. Morford,2002
2005018,Clara Callan,Richard Bruce Wright,2001
60973129,Decision in Normandy,Carlo D'Este,1991
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999
393045218,The Mummies of Urumchi,E. J. W. Barber,1999
399135782,The Kitchen God's Wife,Amy Tan,1991
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000
671870432,PLEADING GUILTY,Scott Turow,1993
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002
771074670,Nights Below Station Street,David Adams Richards,1988
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000
887841740,The Middle Stories,Sheila Heti,2004
1552041778,Jane Doe,R. J. Kaiser,1999
